사업명,지원연도,지원기간,광역,기초,시장명,지원금액(단위_백만원)
청년몰 활성화사업(17곳 선정·지원),2018,‘18,강원,정선군,정선아리랑시장,150
청년몰 활성화사업(17곳 선정·지원),2018,‘18,대전,동구,중앙메가프라자,150
청년몰 활성화사업(17곳 선정·지원),2018,‘18,경남,진주시,진주중앙지하도상가,150
청년몰 활성화사업(17곳 선정·지원),2018,‘18,충남,천안시,천안명동대흥로상점가,50
청년몰 활성화사업(17곳 선정·지원),2018,‘18,광주,광산구,1913송정역시장,150
청년몰 활성화사업(17곳 선정·지원),2018,‘18,부산,부산진구,서면시장,150
청년몰 활성화사업(17곳 선정·지원),2018,‘18,강원,춘천시,육림고개상점가,150
청년몰 활성화사업(17곳 선정·지원),2019,‘19,서울,성동구,뚝도시장,150
청년몰 확장사업(9곳 선정·지원),2019,’19,경남,진주시,진주중앙지하도상가,500
청년몰 활성화사업(17곳 선정·지원),2019,’19,광주,광산구,1913송정역시장,150
청년몰 활성화사업(17곳 선정·지원),2019,’19,강원,춘천시,육림고개상점가,125
청년몰 활성화사업(17곳 선정·지원),2019,’19,부산,부산진구,서면시장,150
지역 선도시장,2020,‘19~’20,충남,서천군,서천특화시장,450
지역 선도시장,2020,‘20~'21,대구,수성구,신매시장,540
첫걸음 기반조성,2020,‘20(단년도사업),서울,관악구,관악신사시장,140
첫걸음 기반조성,2020,‘20(단년도사업),서울,성동구,금남시장,140
첫걸음 기반조성,2020,‘20(단년도사업),서울,중구,삼익패션타운,150
첫걸음 기반조성,2020,‘20(단년도사업),강원,인제군,원통시장,108
첫걸음 기반조성,2020,‘20(단년도사업),부산,연제구,연동골목시장,162
첫걸음 기반조성,2020,‘20(단년도사업),부산,부산진구,당감새시장,168
첫걸음 기반조성,2020,‘20(단년도사업),울산,남구,신정시장,135
첫걸음 기반조성,2020,‘20(단년도사업),경남,진주시,진주자유시장,112
첫걸음 기반조성,2020,‘20(단년도사업),대구,달성군,화원전통시장,104
첫걸음 기반조성,2020,‘20(단년도사업),경북,포항시,포항대해불빛시장,140
첫걸음 기반조성,2020,‘20(단년도사업),경북,문경시,문경전통시장,108
첫걸음 기반조성,2020,‘20(단년도사업),경북,경산시,경산공설시장,140
첫걸음 기반조성,2020,‘20(단년도사업),경북,의성군,안계정기시장,108
첫걸음 기반조성,2020,‘20(단년도사업),경기,부천시,원미종합시장,135
첫걸음 기반조성,2020,‘20(단년도사업),경기,안산시,한대앞역상점가,112
첫걸음 기반조성,2020,‘20(단년도사업),경기,평택시,안중시장,112
첫걸음 기반조성,2020,‘20(단년도사업),경기,시흥시,도일시장,108
첫걸음 기반조성,2020,‘20(단년도사업),인천,동구,현대시장,145
첫걸음 기반조성,2020,‘20(단년도사업),인천,남동구,구월도매전통시장,135
첫걸음 기반조성,2020,‘20(단년도사업),인천,서구,신거북시장,140
첫걸음 기반조성,2020,‘20(단년도사업),인천,서구,인천축산물시장,140
첫걸음 기반조성,2020,‘20(단년도사업),광주,동구,금남지하도상가 1공구,168
첫걸음 기반조성,2020,‘20(단년도사업),광주,서구,양동경열로시장,162
첫걸음 기반조성,2020,‘20(단년도사업),광주,광산구,월곡시장,156
첫걸음 기반조성,2020,‘20(단년도사업),전북,전주시,전북대대학로상점가,140
첫걸음 기반조성,2020,‘20(단년도사업),전남,순천시,순천지하도상가 씨내몰,135
첫걸음 기반조성,2020,‘20(단년도사업),충북,청주시,오창전통시장,135
첫걸음 기반조성,2020,‘20(단년도사업),충북,음성군,음성전통시장,140
첫걸음 기반조성,2020,‘20(단년도사업),충남,공주시,유구시장,108
