사업명,지원연도,지원기간,광역,기초,시장명,지원금액(단위_백만원)
첫걸음 기반조성,2022,‘22(단년도사업),충남,당진시,합덕전통시장,135
첫걸음 기반조성,2022,‘22(단년도사업),전북,익산시,익산 구시장,135
첫걸음 기반조성,2022,‘22(단년도사업),전남,함평군,함평시장,135
첫걸음 기반조성,2022,‘22(단년도사업),경북,포항시,장량성도시장,135
첫걸음 기반조성,2022,‘22(단년도사업),경북,안동시,용상공설시장,135
첫걸음 기반조성,2022,‘22(단년도사업),경북,영주시,풍기인삼홍삼상점가,108
첫걸음 기반조성,2022,‘22(단년도사업),경북,칠곡군,왜관시장,140
첫걸음 기반조성,2022,‘22(단년도사업),경북,예천군,예천상설시장,108
첫걸음 기반조성,2022,‘22(단년도사업),경북,봉화군,봉화내성시장,108
첫걸음 기반조성,2022,‘22(단년도사업),경남,사천시,사천읍시장,135
디지털 전통시장,2022,‘22~'23,서울,광진구,중곡제일전통시장(중곡제일시장),75
디지털 전통시장,2022,‘22~'23,서울,강북구,수유전통시장,100
디지털 전통시장,2022,‘22~'23,서울,서대문구,포방터시장,75
디지털 전통시장,2022,‘22~'23,서울,금천구,남문시장,75
디지털 전통시장,2022,‘22~'23,서울,동작구,성대전통시장,75
디지털 전통시장,2022,‘22~'23,서울,강동구,암사종합시장,100
디지털 전통시장,2022,‘22~'23,부산,수영구,망미중앙시장,75
디지털 전통시장,2022,‘22~'23,인천,미추홀구,신기시장,100
디지털 전통시장,2022,‘22~'23,대전,동구,신도꼼지락시장,75
디지털 전통시장,2022,‘22~'23,세종,세종시,세종전통시장,100
디지털 전통시장,2022,‘22~'23,경기,수원시,화서시장,75
디지털 전통시장,2022,‘22~'23,경기,수원시,수원못골시장,75
디지털 전통시장,2022,‘22~'23,경기,성남시,성남중앙시장,75
디지털 전통시장,2022,‘22~'23,경기,안양시,안양중앙시장,100
디지털 전통시장,2022,‘22~'23,충남,천안시,천안중앙시장(구 남산중앙시장),75
디지털 전통시장,2022,‘22~'23,충남,당진시,당진전통시장,125
디지털 전통시장,2022,‘22~'23,전남,목포시,청호시장,75
디지털 전통시장,2022,‘22~'23,경북,문경시,점촌전통시장(구 신흥시장),75
디지털 전통시장,2022,‘22~'23,경북,문경시,문경중앙시장,125
디지털 전통시장,2022,‘22~'23,경북,경산시,하양꿈바우시장,75
디지털 전통시장,2022,‘22~'23,경북,청송군,진보시장,75
디지털 전통시장,2022,‘22~'23,제주,서귀포시,매일올레시장,100
청년몰 활성화,2022,‘22,충남,금산군,금산금빛시장,250
청년몰 활성화,2022,‘22,전북,김제시,김제전통시장,200
청년몰 활성화,2022,‘22,제주,제주시,제주중앙로상점가,155
청년몰 활성화,2022,‘22,강원,원주시, 미로예술원주중앙시장 ,250
