"행정구역(서울)(1)",행정구역(서울)(2),행정구역(서울)(3),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역(서울)(1)",행정구역(서울)(2),행정구역(서울)(3),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"행정구역(서울)(1)",행정구역(서울)(2),행정구역(서울)(3),소계,소계,소계,등록시장,등록시장,등록시장,인정시장,인정시장,인정시장,상점가,상점가,상점가
"행정구역(서울)(1)",행정구역(서울)(2),행정구역(서울)(3),개소,점포수 (개소),판매면적 (㎡),개소,점포수 (개소),판매면적 (㎡),개소,점포수 (개소),판매면적 (㎡),개소,점포수 (개소),판매면적 (㎡)
"서울특별시",서초구,반포본동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,반포1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,반포2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,반포3동,4,654,15315,-,-,-,-,-,-,4,654,15315
"서울특별시",서초구,반포4동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,방배본동,1,84,4958,1,84,4958,-,-,-,-,-,-
"서울특별시",서초구,방배1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,방배2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,방배3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,방배4동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,양재1동,1,34,1127,1,34,1127,-,-,-,-,-,-
"서울특별시",서초구,양재2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,내곡동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,소계,10,1510,53953,4,369,9834,1,110,13100,5,1031,31019
"서울특별시",강남구,신사동,1,70,3690,1,70,3690,-,-,-,-,-,-
"서울특별시",강남구,논현1동,1,110,13100,-,-,-,1,110,13100,-,-,-
"서울특별시",강남구,논현2동,1,40,1215,1,40,1215,-,-,-,-,-,-
"서울특별시",강남구,삼성1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,삼성2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,대치1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,대치4동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,역삼1동,2,255,12307,-,-,-,-,-,-,2,255,12307
"서울특별시",강남구,역삼2동,1,76,2620,-,-,-,-,-,-,1,76,2620
"서울특별시",강남구,도곡1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,도곡2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,개포1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,개포4동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,일원본동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,일원1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,일원2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,수서동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,세곡동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,압구정동,1,84,2059,1,84,2059,-,-,-,-,-,-
"서울특별시",강남구,청담동,1,175,2870,1,175,2870,-,-,-,-,-,-
"서울특별시",강남구,대치2동,1,563,10092,-,-,-,-,-,-,1,563,10092
"서울특별시",강남구,개포2동,1,137,6000,-,-,-,-,-,-,1,137,6000
"서울특별시",송파구,소계,7,1019,161567,1,64,3871,5,603,111846,1,352,45850
"서울특별시",송파구,풍납1동,1,160,23670,-,-,-,1,160,23670,-,-,-
"서울특별시",송파구,풍납2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,거여1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,거여2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,마천1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,마천2동,2,199,18628,1,64,3871,1,135,14757,-,-,-
"서울특별시",송파구,방이1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,방이2동,1,132,35625,-,-,-,1,132,35625,-,-,-
"서울특별시",송파구,오륜동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,오금동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,송파1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,송파2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,석촌동,1,60,17833,-,-,-,1,60,17833,-,-,-
"서울특별시",송파구,삼전동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,가락본동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,가락1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,가락2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,문정1동,1,352,45850,-,-,-,-,-,-,1,352,45850
"서울특별시",송파구,문정2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,잠실본동,1,116,19961,-,-,-,1,116,19961,-,-,-
"서울특별시",송파구,잠실4동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,잠실6동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,잠실7동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,잠실2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,잠실3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,장지동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,위례동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,소계,8,997,31865,-,-,-,6,668,22639,2,329,9226
"서울특별시",강동구,강일동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,상일동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,명일1동,1,89,2075,-,-,-,1,89,2075,-,-,-
"서울특별시",강동구,명일2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,고덕1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,고덕2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,암사2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,암사3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,천호1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,천호3동,2,240,8768,-,-,-,1,81,2908,1,159,5860
"서울특별시",강동구,성내1동,1,170,3366,-,-,-,-,-,-,1,170,3366
"서울특별시",강동구,성내2동,1,96,2700,-,-,-,1,96,2700,-,-,-
"서울특별시",강동구,성내3동,1,123,3955,-,-,-,1,123,3955,-,-,-
"서울특별시",강동구,둔촌1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,둔촌2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,암사1동,1,120,5136,-,-,-,1,120,5136,-,-,-
"서울특별시",강동구,천호2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,길동,1,159,5865,-,-,-,1,159,5865,-,-
