"행정구역(시군구)별",2022.07,2022.07,2022.07,2022.08,2022.08,2022.08,2022.09,2022.09,2022.09
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"남구",311849,158978,152871,311396,158726,152670,310955,158484,152471
"동구",152560,79643,72917,152322,79515,72807,152008,79373,72635
"북구",218637,113082,105555,218489,112951,105538,218447,112939,105508
"울주군",221592,114550,107042,221609,114585,107024,221661,114666,106995
"세종특별자치시",380889,190038,190851,381439,190276,191163,381925,190541,191384
"세종시",380889,190038,190851,381439,190276,191163,381925,190541,191384
"경기도",13589362,6840138,6749224,13590056,6840757,6749299,13574353,6832856,6741497
"수원시",1185184,597003,588181,1186961,597881,589080,1188234,598490,589744
"장안구",273174,137513,135661,272638,137269,135369,271779,136804,134975
"권선구",369016,186548,182468,368047,186032,182015,366832,185435,181397
"팔달구",181416,91356,90060,185563,93446,92117,189267,95361,93906
"영통구",361578,181586,179992,360713,181134,179579,360356,180890,179466
"성남시",925981,458652,467329,924333,457808,466525,920903,456041,464862
"수정구",234524,118873,115651,234303,118783,115520,233447,118323,115124
"중원구",207526,105105,102421,206386,104530,101856,204894,103769,101125
"분당구",483931,234674,249257,483644,234495,249149,482562,233949,248613
"의정부시",463934,228267,235667,464310,228406,235904,463160,227867,235293
"안양시",549457,271483,277974,548938,271203,277735,547968,270778,277190
"만안구",234363,117123,117240,234083,116942,117141,233963,116869,117094
"동안구",315094,154360,160734,314855,154261,160594,314005,153909,160096
"부천시",797855,395197,402658,796575,394605,401970,793519,393010,400509
"광명시",290351,142982,147369,289887,142737,147150,288933,142236,146697
"평택시",573987,299953,274034,575007,300748,274259,575032,301038,273994
"송탄출장소",0,0,0,0,0,0,0,0,0
"안중출장소",0,0,0,0,0,0,0,0,0
"동두천시",92840,46318,46522,92744,46252,46492,92084,45934,46150
"안산시",648164,332307,315857,647266,331906,315360,645952,331241,314711
"상록구",348345,177761,170584,347832,177534,170298,347348,177269,170079
"단원구",299819,154546,145273,299434,154372,145062,298604,153972,144632
"고양시",1078189,526724,551465,1077198,526156,551042,1074705,524853,549852
"덕양구",485368,239053,246315,485763,239265,246498,485231,238940,246291
"일산동구",298974,145264,153710,298492,144991,153501,297614,144563,153051
"일산서구",293847,142407,151440,292943,141900,151043,291860,141350,150510
"과천시",78645,38655,39990,78657,38666,39991,78231,38467,39764
"구리시",190323,94287,96036,189960,94045,95915,189231,93716,95515
"남양주시",736864,366308,370556,737059,366331,370728,737059,366306,370753
"풍양출장소",0,0,0,0,0,0,0,0,0
"오산시",230181,119711,110470,230142,119699,110443,229797,119561,110236
"시흥시",513768,268347,245421,513331,268101,245230,512331,267615,244716
"군포시",267672,132798,134874,267651,132817,134834,267032,132542,134490
"의왕시",161296,80018,81278,161047,79909,81138,160759,79758,81001
"하남시",323674,161761,161913,323472,161608,161864,323853,161778,162075
"용인시",1078451,535438,543013,1078751,535640,543111,1077111,534734,542377
"처인구",262344,134916,127428,262597,135093,127504,261742,134650,127092
"기흥구",439674,216957,222717,439459,216824,222635,438728,216426,222302
"수지구",376433,183565,192868,376695,183723,192972,376641,183658,192983
"파주시",488608,248071,240537,490143,248876,241267,492267,249924,242343
"이천시",224603,116851,107752,224616,116895,107721,224225,116689,107536
"안성시",190160,98165,91995,190126,98161,91965,189648,97942,91706
"김포시",484972,242449,242523,484310,242154,242156,483845,241842,242003
"화성시",897883,466793,431090,899334,467557,431777,900294,468038,432256
"화성시동부출장소",0,0,0,0,0,0,0,0,0
"화성시동탄출장소",0,0,0,0,0,0,0,0,0
